City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Deputatskiy,RU,69.3,139.9,55.62,87,100,3.94,overcast clouds
287,Garoua Boulai,CM,5.8833,14.55,63.88,95,43,1.5,scattered clouds
288,Vao,NC,-22.6667,167.4833,69.26,72,59,10.89,broken clouds
289,Shelburne,CA,44.0787,-80.2041,83.75,43,6,10.16,clear sky
290,Calafell,ES,41.2,1.5683,83.03,72,0,4.5,clear sky
291,Makhinjauri,GE,41.6739,41.694,78.66,89,0,4.61,clear sky
292,Spornoye,RU,50.8448,37.2913,71.62,77,5,8.16,clear sky
293,Iguape,BR,-24.7081,-47.5553,59.88,55,0,2.91,clear sky
294,Dandong,CN,40.1292,124.3947,71.24,93,60,2.1,broken clouds
295,Anloga,GH,5.7947,0.8973,79.02,85,54,14.97,broken clouds
296,Baykit,RU,61.67,96.37,52.93,99,66,4.21,broken clouds
297,Mount Gambier,AU,-37.8333,140.7667,46.31,93,75,8.05,light rain
298,Bambanglipuro,ID,-7.95,110.2833,75.36,91,50,5.41,scattered clouds
299,Takikawa,JP,43.5528,141.9064,72.45,89,53,1.52,broken clouds
300,Talnakh,RU,69.4865,88.3972,50.95,69,95,6.93,overcast clouds
301,Fujin,CN,47.26,132.0322,75.34,74,66,3.74,broken clouds
302,Kruisfontein,ZA,-34.0033,24.7314,51.89,91,100,6.6,overcast clouds
303,Marawi,PH,7.9986,124.2928,66.65,83,89,4.25,overcast clouds
304,Norman Wells,CA,65.282,-126.8329,73.44,49,40,5.75,scattered clouds
305,Buta,CD,2.7858,24.73,68.38,90,100,0.92,overcast clouds
306,Ossora,RU,59.2353,163.0719,63.86,69,69,10.25,broken clouds
307,Uni,RU,57.7535,51.4923,65.3,74,52,7.34,broken clouds
308,Dinguiraye,GN,11.3,-10.7167,76.33,78,74,3.71,broken clouds
309,Wittmund,DE,53.5667,7.7833,61.03,85,75,4.61,broken clouds
310,Souillac,MU,-20.5167,57.5167,71.98,73,20,13.8,few clouds
311,Maldonado,UY,-34.6667,-54.9167,44.22,89,40,6.33,scattered clouds
312,Motril,ES,36.7507,-3.5179,90.1,53,0,1.34,clear sky
313,Santa Cruz Del Norte,CU,23.1539,-81.9236,87.73,75,31,15.05,scattered clouds
314,Nichinan,JP,31.6,131.3667,77.05,90,100,13.06,overcast clouds
315,Saint-Augustin,CA,51.226,-58.6502,69.1,55,100,17.74,overcast clouds
316,Camacha,PT,33.0833,-16.3333,67.42,68,75,13.8,broken clouds
317,Balkhash,KZ,46.844,74.9804,76.24,42,65,8.57,broken clouds
318,Ouadda,CF,8.0777,22.4007,67.41,99,99,3.27,overcast clouds
319,Abu Samrah,SY,35.3029,37.1841,83.46,33,0,7.4,clear sky
320,Rociu,RO,44.6667,25.0333,69.44,84,91,8.12,moderate rain
321,Labuhan,ID,-6.8844,112.2051,77.5,83,50,9.24,scattered clouds
322,Conakry,GN,9.538,-13.6773,80.67,83,40,6.91,scattered clouds
323,Isangel,VU,-19.55,169.2667,75.52,83,17,5.37,few clouds
324,Aklavik,CA,68.2191,-135.0107,74.23,53,40,5.75,scattered clouds
325,Hami,CN,42.8,93.45,86.32,19,100,10.22,overcast clouds
326,Cortes,ES,41.9395,-1.4396,88.39,48,0,11.32,clear sky
327,Isla Aguada,MX,18.7833,-91.4667,83.1,75,32,9.33,scattered clouds
328,Rudnya,RU,54.947,31.0934,66.52,59,91,7.54,overcast clouds
329,Ust-Nera,RU,64.5667,143.2,70.79,35,2,6.87,clear sky
330,Ostrovnoy,RU,68.0531,39.5131,49.17,85,78,11.83,broken clouds
331,Zhigansk,RU,66.7697,123.3711,61.05,73,5,7.18,clear sky
332,Batagay-Alyta,RU,67.8006,130.4114,62.73,64,69,10.36,broken clouds
333,Dingle,PH,10.9995,122.6711,76.6,89,100,8.1,light rain
334,Chumikan,RU,54.7183,135.315,56.05,83,100,3.56,overcast clouds
335,Haimen,CN,23.1935,116.6142,78.69,92,100,6.35,overcast clouds
336,Polson,US,47.6936,-114.1632,91.11,49,100,1.32,overcast clouds
337,Puri,IN,19.8,85.85,86.38,83,100,16.6,overcast clouds
338,Kenai,US,60.5544,-151.2583,72.03,92,21,12.19,few clouds
339,College,US,64.8569,-147.8028,76.59,49,99,0.98,overcast clouds
340,Egvekinot,RU,66.3167,-179.1667,38.59,88,100,9.26,light rain
341,Abrau-Dyurso,RU,44.69,37.59,71.06,64,0,4.74,clear sky
342,Juneau,US,58.3019,-134.4197,67.84,68,67,4.32,broken clouds
343,Makakilo City,US,21.3469,-158.0858,84.52,64,75,8.05,broken clouds
